Consecutivo de la fila;Nombre de la serie;Consecutivo de la  subserie;Nombre de la subserie;Fecha de inicio;Fecha de finalización;Años en archivo de gestión;Años en archivo central;Disposición final;Soporte;Procedimiento;
230;RESOLUCIONES;5;Resoluciones directivas;2018-11-29;2050-12-26;2;18;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 18 años en el Archivo Central. Esta serie refleja las actuaciones administrativas y las decisiones tomadas dentro de la UCEVA. Su conservación total se regula en la Circular 003 de 2015 AGN.;230
231;RESOLUCIONES;6;Resoluciones rectorales;2018-11-29;2050-12-26;2;18;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 18 años en el Archivo Central. Esta serie refleja las actuaciones administrativas y las decisiones tomadas dentro de la UCEVA. Su conservación total se regula en la Circular 003 de 2015 AGN.;231
232;SOLICITUDES DE ELABORACIÓN, MODIFICACIÓN O ELIMINACIÓN DE DOCUMENTACIÓN DEL SISTEMA DE GESTIÓN DE CALIDAD;1;Solicitudes de elaboración, modificación o eliminación de documentación del sistema de gestión de calidad;2018-11-29;2050-12-26;2;1;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión. Cumplido el tiempo de retención en el archivo de gestión eliminar por perdida de sus valores primarios ya que el propósito de la serie es registrar los controles de las revisiones y actualizaciones de los documentos y registros que integran el Sistema de Gestión de Calidad.  ;232
233;SALIDAS ACADÉMICAS;1;Salidas académicas;2018-11-29;2050-12-26;2;8;ELIMINACION;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central, cumplido el timepo de retención eliminar por perdida de valores primarios. ;233
234;CONTRATOS;9;Contratos de compraventa mínima cuantía;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;234
235;CONTRATOS;10;Contratos de compraventa mínima cuantía - desierta;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;235
236;CONTRATOS;11;Contratos de compraventa de selección abreviada – sa;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;236
237;CONTRATOS;12;Contratos de compraventa de selección abreviada – desierta;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;237
238;CONTRATOS;13;Contratos de compraventa licitación pública lp;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;238
239;CONTRATOS;14;Contratos de compraventa licitación pública lp - desierta;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;239
240;CONTRATOS;15;Contratos de compraventa concurso de méritos - cm;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;240
241;CONTRATOS;16;Contratos de compraventa  concurso de méritos - desierta;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;241
242;CONTRATOS;17;Contratos de compraventa contratación directa – cd;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;242
243;CONTRATOS;18;Contratos de consultoría mínima cuantía - desierta;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;243
244;CONTRATOS;19;Contratos de consultoría de selección abreviada – desierta;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;244
245;CONTRATOS;20;Contratos de consultoría licitación pública lp;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;245
246;CONTRATOS;21;Contratos de consultoría licitación pública lp - desierta;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;246
247;CONTRATOS;22;Contratos de consultoría concurso de méritos - cm;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;247
248;CONTRATOS;23;Contratos de consultoría concurso de méritos - desierta;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;248
249;CONTRATOS;24;Contratos de consultoría contratación directa - cd;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;249
250;CONTRATOS;25;Contratos de interventoría mínima cuantía;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;250
251;CONTRATOS;26;Contratos de interventoría minima cuantía - desierta;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;251
252;CONTRATOS;27;Contratos de interventoría de selección abreviada – sa;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;252
253;CONTRATOS;28;Contratos de interventoría de selección abreviada – desierta;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;253
254;CONTRATOS;29;Contratos de interventoría  licitación pública lp;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;254
255;CONTRATOS;30;Contratos de interventoría licitación pública lp - desierta;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;255
256;CONTRATOS;31;Contratos de interventoría concurso de méritos - cm;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;256
257;CONTRATOS;32;Contratos de interventoría concurso de méritos - desierta;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;257
258;CONTRATOS;33;Contratos de interventoría contratación directa - cd;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;258
259;CONTRATOS;34;Contratos de obra pública mínima cuantía;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;259
260;CONTRATOS;35;Contratos de obra pública mínima cuantía - desierta;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;260
261;CONTRATOS;36;Contratos de obra pública de selección abreviada – sa;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;261
262;CONTRATOS;37;Contratos de obra pública de selección abreviada – desierta;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;262
263;CONTRATOS;38;Contratos de obra pública licitación pública lp;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;263
264;CONTRATOS;39;Contratos de obra pública licitación pública lp - desierta;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;264
265;CONTRATOS;40;Contratos de obra pública concurso de méritos - cm;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;265
266;CONTRATOS;41;Contratos de obra pública concurso de méritos - desierta;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;266
267;CONTRATOS;42;Contratos de obra pública contratación directa - cd;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;267
268;CONTRATOS;43;Contratos de prestación de servicios mínima cuantía;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;268
269;CONTRATOS;44;Contratos de prestación de servicios mínima cuantía - desierta;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;269
270;CONTRATOS;45;Contratos de prestación de selección abreviada – sa;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;270
271;CONTRATOS;46;Contratos de prestación de selección abreviada – desierta;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;271
272;CONTRATOS;47;Contratos de prestación de licitación pública lp;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;272
273;CONTRATOS;48;Contratos de prestación de licitación pública lp - desierta;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;273
274;CONTRATOS;49;Contratos de prestación de concurso de méritos - cm;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;274
275;CONTRATOS;50;Contratos de prestación de concurso de méritos - desierta;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;275
276;CONTRATOS;51;Contratos de prestación de contratación directa - cd;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;276
277;CONTRATOS;52;Contratos de suministros de mínima cuantía;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;277
278;CONTRATOS;53;Contratos de suministros de mínima cuantía - desierta;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;278
279;CONTRATOS;54;Contratos de suministros de selección abreviada – sa;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;279
280;CONTRATOS;55;Contratos de suministros de selección abreviada – desierta;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;280
281;CONTRATOS;56;Contratos de suministros de licitación pública lp;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;281
282;CONTRATOS;57;Contratos de suministros de licitación pública lp - desierta;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;282
283;CONTRATOS;58;Contratos de suministros de concurso de méritos - cm;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;283
284;CONTRATOS;59;Contratos de suministros de concurso de méritos - desierta;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;284
285;CONTRATOS;60;Contratos de suministros de contratación directa - cd;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;285
286;CONTRATOS;61;Contratos de suscripción de mínima cuantía;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;286
287;CONTRATOS;62;Contratos de suscripción de mínima cuantía - desierta;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;287
288;CONTRATOS;63;Contratos de suscripción de  selección abreviada – sa;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;288
289;CONTRATOS;64;Contratos de suscripción de  selección abreviada – desierta;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;289
290;CONTRATOS;65;Contratos de suscripción de  licitación pública lp;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;290
291;CONTRATOS;66;Contratos de suscripción de licitación pública lp - desierta;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;291
292;CONTRATOS;67;Contratos de suscripción de concurso de méritos - cm;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;292
